playerId	playerTag	country	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
2448965	seu lin	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6	5.0	3.0	2.0
2831632	LightenRoSE	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
68974	BushinStyle	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.7142857142857143	7.0	5.0	2.0
3280098	PCTrax		2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
256594	Percival	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6	5.0	3.0	2.0
3311253	McLeod	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.75	4.0	3.0	1.0
3496170	OceanMan	US	2023-08-06	1522	1522	1500	22	913	-912	True	0.6666666666666666	6.0	4.0	2.0
272744	CToss	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
279249	TresPasito	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
39189	Mario	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
47574	El Cubano Loco	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
54320	HyruleHiro.BR	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
57105	Saliou	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
60981	Nice1	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
62931	Averiey_RiB	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
67048	ranmasama	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
146316	Chi-Rithy	CA	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
236457	SilverRupee	CA	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
147113	MainPhase	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
148933	LLLightning	CA	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
155262	Mams92	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
175003	PerfectLegend	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
176349	Maki	MX	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
176633	Nauk	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
184815	Kyoku236HS	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.7142857142857143	7.0	5.0	2.0
211121	Dragon Ninja	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
211473	Shin Paulo	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
212494	DoctorDarling	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
220701	LtrainLocomotive	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
221481	SuddenBlackout	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
148635	CleggMadness	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1120629	InconsiderateRaccoon	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
27264	Boba Tapioca	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
4164	Quail	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
