playerId	playerTag	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
3459636	Tbird	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3507686	KingJaraxxus	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3517053	Brazen	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3517597	Yoshiryuken	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.3333333333333333	3.0	1.0	2.0
3517618	ArisTotleyo	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3517627	Siisko	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3233171	OneThiccBoi	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
2894118	FPFLucayy	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1697997	Fraud	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
3335583	Mormon Freegan	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
217387	Forblaze	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
657774	johndoerulez	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
175913	KeepingItOscar	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
182589	Paracles	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
854920	Siam	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
845622	KyosuskeLV	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
796031	jimmypoopins	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
937539	GrimRony	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
701809	Zeke	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
582495	Mike Nada	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
19838	wafis	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
562520	MetalMusicMan	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
555481	DH_2K	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1022109	Neon Meaty	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
531944	UbePurp	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
454141	Patoro	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
1029299	Gravi	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
374226	HungryKim	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
177096	n0thingman	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
415052	SHGLBMX	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
31879	Fault	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
274867	Kinetic_Onslot	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
345325	Daviscore	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
341750	DeafGamersTV	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
336916	Anarchy Kino	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
329528	YUNA	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
53083	Toucanan	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
281907	Superunknown	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
281112	Snake Eater	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
285975	Noelbhungry	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
266260	Mad_Masher	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
225400	jonsf	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
415119	Rijit	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
139213	Fighting Gold	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
66277	2eZ	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
57058	TheGameKirby	2023-08-06	1496	1500	1496	-4	3400	-3399	True	0.5	4.0	2.0	2.0
