Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-07-19 19:41:43 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 1	4654151	3519429	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:41:17 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	1545059	156735	2	0	N/A	N/A
2025-07-19 19:40:19 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	565873	4618709	2	0	N/A	N/A
2025-07-19 19:40:09 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	3674027	384418	2	0	N/A	N/A
2025-07-19 19:37:13 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 1	4655652	4333429	2	0	N/A	N/A
2025-07-19 19:36:15 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	314782	1928867	2	0	N/A	N/A
2025-07-19 19:36:13 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	180265	2312283	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:35:22 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	131806	2742975	2	0	N/A	N/A
2025-07-19 19:33:39 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	364494	4166357	2	0	N/A	N/A
2025-07-19 19:32:08 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 1	4618709	4861545	2	0	N/A	N/A
2025-07-19 19:31:43 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	2275003	3030705	2	0	N/A	N/A
2025-07-19 19:29:48 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	174929	4205279	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:27:11 UTC	BLINK RESPAWN 2025	Bracket	Winners Round 2	370479	2281630	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-07-19 19:13:38 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	3433085	3997827	2	1	N/A	N/A
2025-07-19 19:13:27 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	224650	2957267	2	0	N/A	N/A
2025-07-19 19:09:24 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	3757151	240230	2	0	N/A	N/A
2025-07-19 19:01:31 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	3757151	2396793	2	0	N/A	N/A
2025-07-19 18:58:33 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	240230	4855687	W	L	N/A	N/A
2025-07-19 18:56:19 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	2360463	232824	2	1	N/A	N/A
2025-07-19 18:55:01 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	3997827	3757151	2	1	N/A	N/A
2025-07-19 18:52:00 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	4855687	312188	W	L	N/A	N/A
2025-07-19 18:51:31 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	699782	1373583	2	0	N/A	N/A
2025-07-19 18:51:07 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	1849364	376041	2	0	N/A	N/A
2025-07-19 18:46:36 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	1373583	1182949	2	0	N/A	N/A
2025-07-19 18:45:54 UTC	BLINK RESPAWN 2025	Bracket	Winners Final	404377	3524304	2	1	N/A	N/A
2025-07-19 18:44:05 UTC	BLINK RESPAWN 2025	Bracket	Losers Semi-Final	291259	70855	2	0	N/A	N/A
2025-07-19 18:43:26 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 3	4855687	3499382	W	L	N/A	N/A
2025-07-19 18:43:11 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	1849364	292318	2	0	N/A	N/A
2025-07-19 18:41:03 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	376041	1686352	2	0	N/A	N/A
2025-07-19 18:40:35 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	699782	4835645	2	0	N/A	N/A
2025-07-19 18:39:12 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	2957267	1182949	2	1	N/A	N/A
2025-07-19 18:35:43 UTC	BLINK RESPAWN 2025	Bracket	Winners Quarter-Final	3997827	3499382	2	0	N/A	N/A
2025-07-19 18:35:20 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	292318	1282873	2	1	N/A	N/A
2025-07-19 18:34:47 UTC	BLINK RESPAWN 2025	Bracket	Losers Quarter-Final	70855	449179	2	0	N/A	N/A
2025-07-19 18:33:51 UTC	BLINK RESPAWN 2025	Bracket	Winners Semi-Final	404377	1686352	2	0	N/A	N/A
2025-07-19 18:33:42 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	1373583	1212629	2	0	N/A	N/A
2025-07-19 18:33:32 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	376041	4649244	2	0	N/A	N/A
2025-07-19 18:33:15 UTC	BLINK RESPAWN 2025	Bracket	Losers Round 4	2396793	4546666	2	0	N/A	N/A
