Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-31 07:39:45 UTC	Fightclub Championship	Pools	Losers Semi-Final	2615125	5011180	2	0	N/A	N/A
2025-10-31 07:38:39 UTC	Fightclub Championship	Pools	Losers Quarter-Final	3933259	1564153	2	0	N/A	N/A
2025-10-31 07:38:29 UTC	Fightclub Championship	Pools	Winners Quarter-Final	2044559	5028421	2	1	N/A	N/A
2025-10-31 07:38:19 UTC	Fightclub Championship	Pools	Losers Round 4	4227231	3941229	2	1	N/A	N/A
2025-10-31 07:37:14 UTC	Fightclub Championship	Pools	Winners Quarter-Final	5024077	5024082	2	0	N/A	N/A
2025-10-31 07:35:21 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5011210	5028419	2	1	N/A	N/A
2025-10-31 07:34:21 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5024115	4987724	2	0	N/A	N/A
2025-10-31 07:34:06 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5011180	5024089	2	0	N/A	N/A
2025-10-31 07:33:23 UTC	Fightclub Championship	Pools	Winners Round 2	633048	5011204	2	0	N/A	N/A
2025-10-31 07:33:15 UTC	Fightclub Championship	Pools	Losers Round 1	5011183	5024139	2	0	N/A	N/A
2025-10-31 07:32:06 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5024060	5032868	2	1	N/A	N/A
2025-10-31 07:31:35 UTC	Fightclub Championship	Pools	Losers Quarter-Final	2615125	5011190	2	1	N/A	N/A
2025-10-31 07:31:29 UTC	Fightclub Championship	Pools	Losers Round 4	3933259	4987739	2	0	N/A	N/A
2025-10-31 07:29:36 UTC	Fightclub Championship	Pools	Winners Quarter-Final	557482	4987725	2	0	N/A	N/A
2025-10-31 07:29:34 UTC	Fightclub Championship	Pools	Losers Round 2	5024130	4987649	2	0	N/A	N/A
2025-10-31 07:28:50 UTC	Fightclub Championship	Pools	Losers Round 3	5024090	5024169	2	0	N/A	N/A
2025-10-31 07:28:50 UTC	Fightclub Championship	Pools	Losers Quarter-Final	385608	4987621	2	0	N/A	N/A
2025-10-31 07:27:35 UTC	Fightclub Championship	Pools	Losers Round 4	4987724	4987793	2	0	N/A	N/A
2025-10-31 07:27:18 UTC	Fightclub Championship	Pools	Losers Round 4	5011162	5011220	2	0	N/A	N/A
2025-10-31 07:26:34 UTC	Fightclub Championship	Pools	Losers Round 4	5024089	5024116	2	0	N/A	N/A
2025-10-31 07:26:33 UTC	Fightclub Championship	Pools	Losers Round 3	3941229	5024065	2	0	N/A	N/A
2025-10-31 07:25:39 UTC	Fightclub Championship	Pools	Losers Round 3	4987739	5011163	2	1	N/A	N/A
2025-10-31 07:25:15 UTC	Fightclub Championship	Pools	Losers Round 4	5011210	5024161	2	0	N/A	N/A
2025-10-31 07:23:49 UTC	Fightclub Championship	Pools	Losers Round 4	5024060	5024192	2	0	N/A	N/A
2025-10-31 07:23:04 UTC	Fightclub Championship	Pools	Winners Semi-Final	157225	5024106	2	0	N/A	N/A
2025-10-31 07:22:56 UTC	Fightclub Championship	Pools	Losers Round 4	4987621	5011208	2	0	N/A	N/A
2025-10-31 07:22:38 UTC	Fightclub Championship	Pools	Winners Round 2	2044559	5024139	2	0	N/A	N/A
2025-10-31 07:22:36 UTC	Fightclub Championship	Pools	Losers Round 3	4227231	5011244	2	1	N/A	N/A
2025-10-31 07:22:31 UTC	Fightclub Championship	Pools	Winners Round 2	5028421	5011242	2	0	N/A	N/A
2025-10-31 07:22:26 UTC	Fightclub Championship	Pools	Winners Round 2	5024105	4987766	2	0	N/A	N/A
2025-10-31 07:22:09 UTC	Fightclub Championship	Pools	Losers Round 2	4987640	3964587	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:22:01 UTC	Fightclub Championship	Pools	Losers Round 2	5024156	5024085	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:21:48 UTC	Fightclub Championship	Pools	Losers Round 1	5024156	4987777	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:21:06 UTC	Fightclub Championship	Pools	Losers Round 3	5011162	5024048	2	0	N/A	N/A
2025-10-31 07:20:35 UTC	Fightclub Championship	Pools	Losers Round 3	5011220	4987738	2	0	N/A	N/A
2025-10-31 07:20:24 UTC	Fightclub Championship	Pools	Losers Round 3	4987793	4987653	2	0	N/A	N/A
2025-10-31 07:19:54 UTC	Fightclub Championship	Pools	Losers Round 3	4987724	4983161	2	0	N/A	N/A
2025-10-31 07:19:53 UTC	Fightclub Championship	Pools	Winners Semi-Final	5024096	3565690	2	1	N/A	N/A
2025-10-31 07:19:35 UTC	Fightclub Championship	Pools	Winners Round 2	5024082	4987777	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:19:30 UTC	Fightclub Championship	Pools	Winners Round 2	5024077	5024085	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:19:22 UTC	Fightclub Championship	Pools	Winners Round 2	4987725	3964587	W (DQ/FF)	L (DQ/FF)	N/A	N/A
