Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars	RateDiff
2025-05-09 13:19:44 UTC	EVO Japan 2025	Round1	Losers Round 2	4209167	4595920	2	0			16
2025-05-09 13:19:44 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3933256	4638228	2	0			14
2025-05-09 13:19:42 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3275553	1574489	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:40 UTC	EVO Japan 2025	Round1	Winners Round 1	3933256	1557493	2	1			10
2025-05-09 13:19:38 UTC	EVO Japan 2025	Round1	Losers Round 1	3742422	4731710	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:37 UTC	EVO Japan 2025	Round1	Losers Round 3	4452320	4668760	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:37 UTC	EVO Japan 2025	Round1	Losers Semi-Final	3986027	4198497	2	0			13
2025-05-09 13:19:36 UTC	EVO Japan 2025	Round1	Losers Round 3	3768176	3579024	2	1			10
2025-05-09 13:19:33 UTC	EVO Japan 2025	Round1	Losers Round 2	4570609	4658816	2	0			13
2025-05-09 13:19:33 UTC	EVO Japan 2025	Round1	Losers Round 1	4729564	4729317	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:32 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	3766247	3293344	2	0			16
2025-05-09 13:19:32 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4198497	2577993	2	0			16
2025-05-09 13:19:31 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1482324	4595037	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:19:28 UTC	EVO Japan 2025	Round1	Losers Round 3	3293344	3935407	2	1			10
2025-05-09 13:19:28 UTC	EVO Japan 2025	Round1	Losers Round 1	2468659	4731743	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:27 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	3986027	3941724	2	0			13
2025-05-09 13:19:27 UTC	EVO Japan 2025	Round1	Losers Round 2	4529076	3379278	2	0			16
2025-05-09 13:19:26 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3950307	3390576	2	0			16
2025-05-09 13:19:26 UTC	EVO Japan 2025	Round1	Winners Final	1403556	3264987	2	1			10
2025-05-09 13:19:23 UTC	EVO Japan 2025	Round1	Losers Round 2	3935407	1004489	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:22 UTC	EVO Japan 2025	Round1	Losers Round 2	4452320	1981512	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:22 UTC	EVO Japan 2025	Round1	Losers Round 3	4198497	3875208	2	1			10
2025-05-09 13:19:21 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1403556	4674524	2	0			15
2025-05-09 13:19:20 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4563167	4462733	2	0			15
2025-05-09 13:19:20 UTC	EVO Japan 2025	Round1	Losers Round 2	3293344	3768199	2	1			10
2025-05-09 13:19:17 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3264987	315529	2	0			15
2025-05-09 13:19:16 UTC	EVO Japan 2025	Round1	Losers Round 2	4668760	1574335	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:16 UTC	EVO Japan 2025	Round1	Losers Round 3	3941724	4657139	2	1			10
2025-05-09 13:19:13 UTC	EVO Japan 2025	Round1	Winners Round 1	4405278	4526302	2	0			15
2025-05-09 13:19:13 UTC	EVO Japan 2025	Round1	Losers Round 2	3579024	566687	2	0			15
2025-05-09 13:19:11 UTC	EVO Japan 2025	Round1	Losers Round 2	4198497	4524624	2	0			14
2025-05-09 13:19:10 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1403556	4209167	2	0			15
2025-05-09 13:19:08 UTC	EVO Japan 2025	Round1	Winners Round 1	4563146	4729860	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:06 UTC	EVO Japan 2025	Round1	Losers Round 1	4658816	4731944	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:19:06 UTC	EVO Japan 2025	Round1	Losers Round 2	3768176	4198824	2	0			15
2025-05-09 13:19:06 UTC	EVO Japan 2025	Round1	Losers Round 2	3875208	4611036	2	1			10
2025-05-09 13:19:05 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	385608	557240	2	0			10
2025-05-09 13:19:04 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4674524	556422	2	1			12
2025-05-09 13:19:04 UTC	EVO Japan 2025	Round1	Losers Round 1	1585687	4546122	2	0			15
2025-05-09 13:19:02 UTC	EVO Japan 2025	Round1	Losers Round 1	3379278	4731718	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:59 UTC	EVO Japan 2025	Round1	Winners Round 1	3390576	1785552	2	0			18
2025-05-09 13:18:59 UTC	EVO Japan 2025	Round1	Winners Round 1	4603211	568162	W (DQ/FF)	L (DQ/FF)			11
